council,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
1,172961,165137,0.23452042849270605,0.765479571507294,0.4858,0.5142,39.23529411764706,111684.41176470589,0.1271,0.8729,0.1601,0.8399,0.1346,0.3169,0.15410000000000001,0.1205,0.11030000000000001,0.1636,0.496,0.06,0.0392,0.0074,0.0032,0.0019,0.3136,0.0021,2e-4,0,0.0029,0.0343,0.028,0.0113,0.08729999999999999,0.4544,0.3454,0.109,0.5456,0.4199,0.1257,0.4537,0.426,0.051199999999999996,0.0692,0.18300000000000002,0.1012,0.066,0.0293,0.3529,0.26739999999999997,0.7706,0.0342,0.1953,0.9459000000000001,0.7956,0.1684,0.054099999999999995,0.5602,0.2192,0.0975,0.019,5e-4,0.0054,0.003,0.0046,0.002,8e-4,0.0027,0.001,0.0083,0.0017,5e-4,0.0013,2e-4,0.0019,0.0017,0.0057,0.0025,0.0041,0.0038,0.2348,0.0084,0.0098,2e-4,0,2e-4,2e-4,0.0016,0.0039,0.0023,8e-4,0,0,8e-4,0.0022,0.005,0.0012,5e-4,0.0295,0.0026,2e-4,9e-4,0.001,5e-4,1e-4,1e-4,1e-4,0,0.0024,2e-4,0,1e-4,0,0.001,2e-4,2e-4,8e-4,0.0015,5e-4,0.1676,0.0034,0.0024,2e-4,0,0,0,9e-4,8e-4,5e-4,1e-4,0,0,2e-4,2e-4,8e-4,0,2e-4,6.000000000000001e-4,0.0128,0.028999999999999998,0.020900000000000002,0.0722,0.0207,0.06029999999999999,0.2035,0.2429,0.1753,0.11000000000000001,0.031200000000000002,0.0207,0.3139,0.0776,0.1976,0.0404,0.0283,0.0121,0.0474,0.014,0.0216,0.1936,0.015700000000000002,0.0379
10,183088,179712,0.06949452457264957,0.9305054754273504,0.4765,0.5235,36.7,58371.153846153844,0.167,0.833,0.3202,0.6798,0.1807,0.30390000000000006,0.1368,0.12240000000000001,0.1099,0.1462,0.2047,0.1708,0.0628,0.0651,4e-4,0.0083,0.0291,0.0014,1e-4,5e-4,0.0037,0.3809,0.0133,0.0591,0.1203,0.5733,0.2777,0.2956,0.4267,0.3207,0.106,0.453,0.3755,0.048799999999999996,0.1227,0.26990000000000003,0.185,0.14079999999999998,0.052,0.2119,0.1404,0.7331,0.0586,0.2083,0.8871,0.5553,0.35960000000000003,0.1129,0.2822,0.374,0.6583,0.0048,0.0014,0.0022,0.001,0.0038,3e-4,4e-4,5e-4,0.0041,0.0078,0.0014,2e-4,7e-4,2e-4,5e-4,4e-4,2e-4,0,0.0016,0.0013,0.0056,0.0034,0.0029,0,0,1e-4,0,4e-4,7e-4,0.0027,2e-4,0,1e-4,0,0.0026,0.0049,0.0027,5e-4,0.3566,0.001,4e-4,9e-4,1e-4,3e-4,2e-4,1e-4,1e-4,0.0017,0.0038,4e-4,1e-4,3e-4,0,0,0,0,0,5e-4,1e-4,0.0025,0.0017,0.001,0,0,1e-4,0,0,3e-4,2e-4,0,0,0,0,7e-4,2e-4,6e-4,1e-4,2e-4,0.0329,0.0365,0.023600000000000003,0.091,0.046400000000000004,0.0383,0.0715,0.1137,0.2891,0.1658,0.0693,0.0216,0.1337,0.0406,0.16820000000000002,0.0398,0.061700000000000005,0.0201,0.0934,0.060700000000000004,0.0587,0.1787,0.043899999999999995,0.1007
11,156370,149832,0.2817488920924769,0.7182511079075231,0.4748,0.5252,39.95384615384615,65887.21052631579,0.1455,0.8545,0.2252,0.7748,0.21300000000000002,0.24339999999999998,0.13269999999999998,0.1267,0.11410000000000001,0.17020000000000002,0.2861,0.1335,0.1747,0.0362,2e-4,0.003,0.062,0.0014,3e-4,3e-4,0.0082,0.2452,0.0205,0.0283,0.107,0.5841,0.3417,0.2424,0.4159,0.3538,0.062,0.41200000000000003,0.4189,0.0658,0.1031,0.18210000000000004,0.2437,0.1598,0.0517,0.1899,0.17279999999999998,0.7259,0.058,0.2161,0.9003000000000001,0.6369,0.3024,0.09970000000000001,0.4983,0.2028,0.3492,0.0072,0.0021,0.0066,0.0013,0.0016,9e-4,7e-4,3e-4,0.0043,0.0092,0.002,0.0026,0.0039,7e-4,0.0022,0.0015,0.0029,0.0052,0.0205,0.0151,0.0092,0.0013,0.0067,2e-4,0,5e-4,0,0.001,0.0024,0.0052,3e-4,0,1e-4,0.0037,0.0079,0.0053,0.0177,1e-4,0.1399,0.0019,4e-4,0.0022,1e-4,2e-4,3e-4,0,0,3e-4,0.0051,9e-4,0.0011,0.002,2e-4,5e-4,7e-4,0.0012,0.0016,0.0126,0.0063,0.0052,7e-4,0.0048,0,0,4e-4,0,6e-4,6e-4,0.001,2e-4,0,0,0.002,0.0052,0.0012,0.0034,0,0.0019,0.0491,0.026,0.0157,0.0821,0.0588,0.0237,0.0791,0.1184,0.3358,0.1133,0.0596,0.0363,0.1365,0.041800000000000004,0.1445,0.0702,0.0651,0.0279,0.0672,0.061700000000000005,0.0409,0.1913,0.0596,0.09330000000000001
12,182164,178587,0.4445508351671734,0.5554491648328266,0.4459,0.5541,37.9875,57835.225,0.1433,0.8567,0.2379,0.7621,0.21430000000000002,0.23199999999999996,0.12610000000000002,0.13040000000000002,0.1303,0.16699999999999998,0.0348,0.0768,0.6482,0.0456,0.0032,0.0067,0.0246,4e-4,2e-4,1e-4,0.0098,0.1143,0.013,0.0224,0.0844,0.6542,0.2871,0.3672,0.3458,0.3155,0.0302,0.4596,0.369,0.0701,0.1013,0.193,0.2933,0.18239999999999998,0.0954,0.1548,0.0809,0.7039,0.0668,0.2293,0.8993999999999999,0.6446000000000001,0.32099999999999995,0.1006,0.6984,0.10010000000000001,0.2079,0.0108,0.0086,0.0021,0.002,6e-4,1e-4,0,0,6e-4,0.0013,5e-4,1e-4,2e-4,1e-4,0,1e-4,1e-4,0.0022,0.0029,0.003,0.0013,0,0.001,0.0021,0,0,2e-4,5e-4,3e-4,0.0029,3e-4,0,5e-4,0,0.001,0,0.0483,0,0.0714,0.0031,0.0019,7e-4,7e-4,3e-4,0,0,0,2e-4,0.0012,4e-4,1e-4,0,0,0,0,0,7e-4,0.0022,0.0013,7e-4,0,9e-4,5e-4,0,0,1e-4,2e-4,2e-4,0.0013,3e-4,0,3e-4,0,6e-4,0,0.0108,0,5e-4,0.0499,0.026099999999999998,0.0126,0.1024,0.07869999999999999,0.017099999999999997,0.0611,0.0816,0.3955,0.0732,0.0513,0.0499,0.09570000000000001,0.0169,0.1085,0.0722,0.1085,0.0475,0.0472,0.0542,0.0456,0.24169999999999997,0.06720000000000001,0.0946
13,164874,159902,0.4500631636877587,0.5499368363122412,0.4816,0.5184,40.63921568627451,68924.92,0.1212,0.8788,0.1902,0.8098,0.20400000000000001,0.2317,0.1376,0.1352,0.1224,0.1692,0.3155,0.1467,0.1352,0.0309,0.0014,0.005,0.0735,0.0026,4e-4,2e-4,0.008,0.239,0.0118,0.0298,0.0774,0.6623,0.3889,0.2734,0.3377,0.2971,0.0406,0.3997,0.4416,0.0672,0.09140000000000001,0.1856,0.282,0.1679,0.09,0.1602,0.1142,0.7205,0.0565,0.223,0.9021999999999999,0.6910999999999999,0.2713,0.0979,0.4872,0.1867,0.3252,0.0016,0.0024,0.0442,8e-4,0.0019,4e-4,4e-4,1e-4,0.0058,0.0035,0.0032,0.0036,0.0027,0,1e-4,1e-4,0.0024,0.0056,0.0136,0.0347,0.0123,3e-4,0.0015,0.0021,0,9e-4,0,0.0079,0.003,0.0104,3e-4,0,0,0.0013,0.0084,7e-4,0.0114,1e-4,0.1053,5e-4,4e-4,0.0172,3e-4,2e-4,2e-4,1e-4,0,0.0021,0.0019,0.0011,0.002,0.0016,0,0,1e-4,6e-4,0.0022,0.0065,0.0145,0.0083,1e-4,8e-4,0.001,0,6e-4,0,0.0058,0.0015,0.0026,1e-4,0,0,4e-4,0.0042,1e-4,0.0044,0,0.0017,0.0609,0.0426,0.0146,0.1018,0.0755,0.0196,0.0685,0.0863,0.3344,0.0963,0.045899999999999996,0.052099999999999994,0.12140000000000001,0.0305,0.122,0.0635,0.058499999999999996,0.0398,0.0498,0.0427,0.050600000000000006,0.23500000000000001,0.08399999999999999,0.1023
14,164977,161459,0.0615078750642578,0.9384921249357422,0.4632,0.5368,32.75,33892.32352941176,0.3063,0.6937,0.4664,0.5336,0.27040000000000003,0.2775,0.1255,0.1337,0.0975,0.09539999999999998,0.0249,0.1134,0.1911,0.0803,0.003,0.004,0.0183,4e-4,1e-4,0.0019,0.0067,0.5193,0.0092,0.0274,0.1723,0.681,0.2577,0.4233,0.319,0.2757,0.0433,0.4807,0.378,0.0378,0.10350000000000001,0.3265,0.2836,0.17259999999999998,0.0702,0.1058,0.0412,0.6572,0.0805,0.2623,0.856,0.3797,0.5302,0.14400000000000002,0.2503,0.3706,0.6629,0.0114,0.0038,4e-4,2e-4,3e-4,2e-4,8e-4,0,0.0018,6e-4,0,8e-4,1e-4,1e-4,1e-4,0,7e-4,6e-4,0.0075,0.0025,0.0026,0.0011,0.0012,0,0,1e-4,0,0.0032,0.0011,0.0063,5e-4,0,1e-4,3e-4,0.0036,0,0.0348,2e-4,0.3344,0.0048,0.0015,0,0,2e-4,1e-4,0,0,9e-4,4e-4,0,3e-4,0,0,0,0,0,5e-4,0.0042,0.0012,0.0018,7e-4,8e-4,0,0,0,0,0.0023,2e-4,0.0021,1e-4,0,0,1e-4,0.0022,0,0.0116,2e-4,0.0011,0.053099999999999994,0.036,0.0182,0.12159999999999999,0.0776,0.0115,0.06609999999999999,0.07730000000000001,0.2962,0.15109999999999998,0.06420000000000001,0.0262,0.062,0.0121,0.0736,0.025699999999999997,0.1246,0.0348,0.0982,0.0959,0.056600000000000004,0.20329999999999998,0.0679,0.1451
15,173288,166923,0.0904728527524667,0.9095271472475333,0.4693,0.5307,31.38684210526316,34143.36842105263,0.2995,0.7005,0.4764,0.5236,0.2769,0.2923,0.1154,0.1147,0.0997,0.10130000000000002,0.057,0.1387,0.2412,0.0796,0.0013,0.0029,0.0226,0.0015,3e-4,2e-4,0.0036,0.4167,0.0096,0.0249,0.1618,0.6407,0.2303,0.4104,0.3593,0.3119,0.0474,0.5272,0.3423,0.043800000000000006,0.0866,0.3348,0.2835,0.1748,0.0679,0.0972,0.0419,0.6257,0.0871,0.2872,0.8518,0.40459999999999996,0.4959,0.1482,0.3206,0.3091,0.5633,0.0123,0.0028,0.004,2e-4,1e-4,1e-4,3e-4,0,1e-4,0.0024,3e-4,0.0015,0.0016,1e-4,4e-4,1e-4,4e-4,0.0036,0.0053,0.0138,0.0014,2e-4,0.0019,0.0013,0,0,0,0.0019,0.0023,0.0018,0,0,3e-4,1e-4,0.0059,1e-4,0.0488,4e-4,0.2622,0.0064,5e-4,0.0014,1e-4,0,0,1e-4,0,0,0.0015,1e-4,5e-4,5e-4,1e-4,2e-4,1e-4,3e-4,9e-4,0.0028,0.0064,8e-4,2e-4,0.0015,9e-4,0,0,0,0.0015,4e-4,4e-4,0,0,1e-4,1e-4,0.0027,0,0.0161,3e-4,5e-4,0.053,0.0368,0.0178,0.13040000000000002,0.0746,0.0167,0.064,0.0788,0.3065,0.1353,0.06130000000000001,0.0245,0.0711,0.02,0.0737,0.0314,0.11220000000000001,0.037,0.0879,0.08910000000000001,0.0509,0.2157,0.0723,0.1388
16,164158,159710,0.0461210944837518,0.9538789055162482,0.467,0.533,31.184375,30293.064516129034,0.3471,0.6529,0.4879,0.5121,0.2917,0.27080000000000004,0.12400000000000001,0.1199,0.10629999999999999,0.0874,0.0148,0.1079,0.3332,0.0807,0.0035,0.0056,0.0102,5e-4,0,0.0023,0.0039,0.4016,0.0079,0.0279,0.1612,0.6697,0.234,0.4358,0.3303,0.2892,0.0411,0.5331,0.3438,0.0394,0.0837,0.33130000000000004,0.2916,0.181,0.068,0.0971,0.0311,0.6046,0.0825,0.3129,0.8553999999999999,0.3712,0.5483,0.1445,0.3217,0.3212,0.565,0.022,0.0055,5e-4,1e-4,0,1e-4,0,0,0,0,2e-4,0,0,0,1e-4,0,0,8e-4,0.0043,0.0013,0.0017,2e-4,0,0,0,0,0,2e-4,1e-4,0.0013,1e-4,0,2e-4,0,0.0019,0,0.0714,0.0014,0.2803,0.0108,7e-4,1e-4,1e-4,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,5e-4,0.002,5e-4,9e-4,0,0,0,0,0,0,0,1e-4,0,0,0,2e-4,0,0.0012,0,0.0233,4e-4,0.0015,0.0453,0.0343,0.0174,0.1122,0.0879,0.0115,0.053,0.0944,0.3223,0.1358,0.0555,0.0287,0.0597,0.013600000000000001,0.0803,0.023600000000000003,0.1381,0.0453,0.0826,0.0959,0.0553,0.2029,0.0572,0.1456
17,167574,163353,0.10885015885842317,0.8911498411415768,0.4766,0.5234,32.582926829268295,28930.48780487805,0.3338,0.6662,0.4659,0.5341,0.2697,0.2762,0.11960000000000001,0.1237,0.10490000000000001,0.10590000000000001,0.0196,0.1151,0.2986,0.0743,0.0016,0.0066,0.0091,4e-4,0.0012,4e-4,0.003,0.432,0.0063,0.0318,0.1157,0.6318,0.2115,0.4203,0.3682,0.3315,0.0367,0.5411,0.3188,0.05109999999999999,0.0891,0.3337,0.2706,0.1785,0.0669,0.1122,0.0381,0.6175,0.0726,0.3099,0.8662999999999998,0.397,0.5356000000000001,0.13369999999999999,0.3493,0.2971,0.5798,0.0173,0.0018,1e-4,6e-4,4e-4,0,2e-4,0,1e-4,1e-4,2e-4,0,2e-4,0,0,0,6e-4,0,0.0038,0.0013,0.0051,0.0017,5e-4,2e-4,0,3e-4,0,7e-4,1e-4,3e-4,1e-4,0,1e-4,0,0.0027,1e-4,0.0314,0.0012,0.2652,0.0055,6e-4,0,0,3e-4,0,1e-4,0,0,1e-4,0,0,0,0,0,0,2e-4,0,0.002,1e-4,0.0041,0.0012,2e-4,1e-4,0,1e-4,0,3e-4,0,3e-4,1e-4,0,0,0,0.0026,0,0.0133,7e-4,2e-4,0.043,0.0291,0.0247,0.1208,0.0852,0.012799999999999999,0.061,0.0955,0.3164,0.12060000000000001,0.057300000000000004,0.0334,0.0681,0.012400000000000001,0.0929,0.0254,0.1243,0.048799999999999996,0.07669999999999999,0.0769,0.0521,0.2243,0.061,0.137
18,170312,168802,0.24617599317543631,0.7538240068245637,0.4769,0.5231,34.81944444444444,43597.36111111111,0.236,0.764,0.3446,0.6554,0.2509,0.2581,0.1238,0.1288,0.1119,0.12639999999999998,0.0308,0.1928,0.2745,0.0492,0.0035,0.0034,0.085,0.0016,0,1e-4,0.0072,0.3076,0.0161,0.0281,0.1202,0.6673,0.2983,0.369,0.3327,0.2864,0.0464,0.4788,0.378,0.0527,0.09040000000000001,0.2683,0.2817,0.1835,0.0829,0.1243,0.0593,0.6503,0.0619,0.2877,0.8771,0.5332,0.4231,0.12290000000000001,0.426,0.2471,0.4731,0.0062,0.0023,0.0015,9e-4,0,3e-4,3e-4,0,0,2e-4,1e-4,0,6e-4,1e-4,2e-4,0,0.001,0.0021,0.0387,0.0019,0.0062,3e-4,0.0017,5e-4,0,5e-4,0,0.0028,0.002,0.0013,5e-4,0,0,0,0.0048,3e-4,0.0233,5e-4,0.2019,0.003,6e-4,7e-4,0,0,2e-4,0,0,0,0,0,0,0,0,2e-4,0,3e-4,0.001,0.0203,9e-4,0.004,1e-4,9e-4,3e-4,0,5e-4,0,0.0019,9e-4,3e-4,0,0,0,0,0.0021,1e-4,0.0064,5e-4,4e-4,0.0594,0.0347,0.0148,0.1053,0.0932,0.0168,0.056600000000000004,0.0832,0.3242,0.1199,0.0489,0.0421,0.08879999999999999,0.019200000000000002,0.09659999999999999,0.0428,0.0942,0.0468,0.0776,0.06509999999999999,0.0454,0.2142,0.07809999999999999,0.1312
19,157265,155779,0.666264387369286,0.33373561263071405,0.4807,0.5193,45.39375,82537.10416666667,0.0599,0.9401,0.0688,0.9312,0.18739999999999998,0.18359999999999999,0.1294,0.1399,0.1435,0.21600000000000003,0.4386,0.0789,0.0143,0.0031,0.001,7e-4,0.3505,0.0015,6e-4,0,0.005,0.081,0.0147,0.0101,0.037599999999999995,0.7014,0.552,0.1495,0.2986,0.2617,0.0369,0.2802,0.5693999999999999,0.07980000000000001,0.0706,0.1519,0.2391,0.1436,0.0901,0.2198,0.1555,0.7418,0.035,0.2232,0.8969,0.7515000000000001,0.1688,0.1031,0.4266,0.2948,0.1437,0.0021,1e-4,0.0408,0.002,0.0027,8e-4,1e-4,3e-4,0.0483,0.0056,0.0054,0.013,0.0044,0.0053,0.0064,0.001,0.0032,0.0021,0.0043,0.0097,0.1441,0.0038,0.1022,1e-4,0,8e-4,0,0.0015,0.0042,0.0074,3e-4,0,0,0.0014,0.0043,0.0021,2e-4,1e-4,0.0628,4e-4,1e-4,0.0151,6e-4,9e-4,3e-4,1e-4,0,0.0153,0.0021,0.0011,0.0047,0.0013,0.0018,0.0027,4e-4,0.0019,5e-4,0.0023,0.0048,0.0949,0.0019,0.0703,1e-4,0,4e-4,0,0.001,0.0024,0.002,1e-4,0,0,1e-4,0.0017,6e-4,1e-4,0,0.0012,0.0723,0.0453,0.0345,0.0949,0.0674,0.0265,0.1012,0.1202,0.2346,0.0905,0.0693,0.0421,0.1777,0.0519,0.1275,0.0632,0.0295,0.020900000000000002,0.0528,0.030199999999999998,0.0413,0.24780000000000002,0.0699,0.0871
2,161402,147966,0.23516889015043996,0.76483110984956,0.4816,0.5184,35.22857142857143,95595.07142857143,0.1466,0.8534,0.1431,0.8569,0.09490000000000001,0.41939999999999994,0.1331,0.10529999999999999,0.1051,0.1421,0.5366,0.0963,0.0823,0.0076,9e-4,0.0011,0.1647,0.0017,5e-4,0,0.0033,0.0772,0.0195,0.0084,0.0434,0.3134,0.2073,0.1061,0.6866,0.5432,0.1434,0.6094,0.2828,0.044,0.06359999999999999,0.10400000000000001,0.1259,0.0906,0.0374,0.3707,0.27130000000000004,0.7291,0.0324,0.2385,0.9484999999999999,0.8046000000000001,0.1642,0.051500000000000004,0.6378,0.1326,0.1683,0.0163,3e-4,0.0048,0.0038,0.0061,7e-4,0.0012,0.0026,0.002,0.0054,0.0068,6e-4,0.0041,1e-4,0.001,8e-4,0.0054,9e-4,0.0045,0.0033,0.0781,0.0113,0.0107,1e-4,0,3e-4,1e-4,0.001,0.0042,0.003,0.0016,0,0,0.001,0.0035,0.0065,0.0017,0,0.0581,0.0019,0,3e-4,0.001,9e-4,4e-4,0,3e-4,6e-4,0.0022,0.0023,3e-4,0.001,0,1e-4,0,5e-4,0,0.0013,0.0011,0.0477,0.0063,0.0027,0,0,0,0,1e-4,4e-4,4e-4,8e-4,0,0,0,0.0012,6e-4,1e-4,0,9e-4,0.0164,0.025500000000000002,0.0125,0.0619,0.0225,0.0802,0.18760000000000002,0.251,0.1947,0.0913,0.0366,0.0191,0.3176,0.0799,0.21760000000000002,0.048799999999999996,0.0261,0.007599999999999999,0.0296,0.018799999999999997,0.0312,0.18180000000000002,0.0167,0.0242
20,149253,147508,0.3852807983295821,0.6147192016704178,0.4719,0.5281,43.72894736842105,51644.31578947369,0.177,0.823,0.1681,0.8319,0.1664,0.2181,0.128,0.1597,0.139,0.1888,0.1116,0.053,0.0253,0.0046,0.0029,9e-4,0.6869,0.0018,3e-4,1e-4,0.0025,0.0829,0.0142,0.0128,0.13290000000000002,0.715,0.5094,0.2056,0.285,0.2261,0.0589,0.29000000000000004,0.5706,0.0724,0.06709999999999999,0.2848,0.2891,0.107,0.098,0.1384,0.08259999999999999,0.6993,0.0248,0.2759,0.7623,0.51,0.2743,0.2377,0.1742,0.6061,0.1353,0.0026,0.0022,0.0078,0.001,0.0012,4e-4,1e-4,0,0.0104,0.0068,0.003,0.001,4e-4,0.001,0.0023,0.0077,0.011,0.0129,0.0258,0.0064,0.4561,0.0019,0.0986,1e-4,0,9e-4,4e-4,0.0024,0.0078,0.0139,0.0012,0,0,5e-4,0.002,5e-4,4e-4,1e-4,0.0811,5e-4,8e-4,0.0032,4e-4,1e-4,0,0,0,0.0036,0.0051,0.0013,7e-4,2e-4,5e-4,8e-4,0.0039,0.0056,0.0056,0.0162,0.0041,0.3779,0.0014,0.0795,1e-4,0,6e-4,3e-4,0.0016,0.0039,0.0052,3e-4,0,0,2e-4,0.0013,0,1e-4,0,0.0012000000000000001,0.06709999999999999,0.041999999999999996,0.026,0.1052,0.06770000000000001,0.0206,0.0744,0.0907,0.2106,0.15539999999999998,0.1145,0.024599999999999997,0.1042,0.0428,0.0823,0.0538,0.0611,0.0162,0.1018,0.0436,0.0834,0.2187,0.0777,0.1143
21,142045,140634,0.23436722271996815,0.7656327772800319,0.5185,0.4815,34.70333333333333,55720.8,0.1548,0.8452,0.2832,0.7168,0.2601,0.26130000000000003,0.1617,0.1228,0.09430000000000001,0.1,0.0382,0.3059,0.0892,0.0188,7e-4,0.0062,0.12,0.005,0,1e-4,0.0034,0.3856,0.0068,0.0202,0.2552,0.7669,0.4303,0.3366,0.2331,0.1686,0.0645,0.4464,0.434,0.0474,0.0722,0.34340000000000004,0.3481,0.11560000000000001,0.0618,0.0987,0.032299999999999995,0.7478,0.0328,0.2194,0.6683,0.4072,0.3339,0.3317,0.1582,0.5086999999999999,0.6987,0.0071,0.0072,0.0023,0.0013,3e-4,0,2e-4,0,0.0016,0.0071,0.0029,3e-4,3e-4,6e-4,0.0013,6e-4,0.0023,0.0097,0.0192,0.0014,0.0489,1e-4,0.0028,0,0,0,1e-4,0,0.0026,0.0053,7e-4,0,0,2e-4,0.0034,2e-4,0.0129,2e-4,0.4306,0.0029,0.0019,9e-4,8e-4,1e-4,0,0,0,9e-4,0.0045,0.0016,2e-4,1e-4,3e-4,6e-4,2e-4,0.0012,0.0027,0.0101,1e-4,0.0376,1e-4,0.0017,0,0,0,0,0,0.0017,0.0019,6e-4,0,0,1e-4,7e-4,1e-4,0.0043,2e-4,0.0015,0.1546,0.0465,0.0179,0.1139,0.07440000000000001,0.013600000000000001,0.033299999999999996,0.0789,0.145,0.21059999999999998,0.0901,0.02,0.050499999999999996,0.013,0.044,0.0192,0.0463,0.0174,0.1613,0.0878,0.0605,0.1719,0.16599999999999998,0.1623
