borough,neighborhood,nCode,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
Bronx,Pelham Gardens,X01,15996,14541,0.6868853586410838,0.31311464135891615,0.4601,0.5399,46.083333333333336,90185.83333333333,0.0718,0.9282,0.1074,0.8926,0.1701,0.21030000000000001,0.1058,0.1416,0.1279,0.2443,0.3305,0.1034,0.1902,0.0397,3e-4,0.0123,0.1325,0.0012,0,0,0.0107,0.1465,0.0161,0.0166,0.0444,0.7775,0.5367,0.2408,0.2225,0.1954,0.0271,0.33440000000000003,0.4924,0.0905,0.0827,0.19660000000000002,0.2503,0.1731,0.0713,0.1609,0.1477,0.7576,0.0466,0.1957,0.9248000000000001,0.7775,0.1895,0.0751,0.4921,0.171,0.2167,0.002,4e-4,0.0905,0.0012,0.0028,0.0014,4e-4,0,6e-4,0.0036,0.002,0.0056,0.0039,0,0,6e-4,0.0025,0.0093,0.0077,0.0742,0.0177,2e-4,0,0.0054,0,0,0,0.0204,0.0028,0.0193,0,0,0,0.0038,0.0077,4e-4,0.0048,0,0.061,7e-4,0,0.0309,4e-4,4e-4,6e-4,0,0,0,0.0016,4e-4,0.0017,8e-4,0,0,6e-4,0.0016,0.0036,0.0038,0.0246,0.0103,0,0,0.0027,0,0,0,0.0145,0.002,0.0043,0,0,0,0.0014,0.0025,0,6e-4,0,0.004200000000000001,0.0506,0.0298,0.0213,0.1107,0.0749,0.018500000000000003,0.066,0.0902,0.39170000000000005,0.0605,0.0469,0.0347,0.1199,0.0357,0.125,0.08750000000000001,0.0495,0.03,0.0443,0.0393,0.0451,0.2724,0.07579999999999999,0.0753
Bronx,Pelham Parkway,X02,38412,37909,0.1738109683716268,0.8261890316283732,0.4853,0.5147,38.05555555555556,44150.555555555555,0.1746,0.8254,0.3016,0.6984,0.2178,0.24130000000000004,0.1669,0.11649999999999999,0.12,0.1373,0.1925,0.127,0.1732,0.0373,0.0024,0.0045,0.0484,0.0013,0,0,0.0095,0.354,0.0182,0.0318,0.1191,0.5918,0.2883,0.3035,0.4082,0.3654,0.0428,0.46299999999999997,0.3894,0.0549,0.0928,0.2343,0.2843,0.1657,0.0846,0.1489,0.0823,0.6875,0.0731,0.2394,0.8528,0.5350999999999999,0.39370000000000005,0.14709999999999998,0.3448,0.2954,0.4812,0.0022,0.0066,0.0041,0,7e-4,8e-4,0,0,2e-4,0.0139,0.0022,0.0057,0.0043,0,0,0,0.0041,0.0128,0.0051,0.0463,0.004,3e-4,0.0031,0.0034,0,0.002,0,0.0069,0.0034,0.0032,0,0,0,0,0.0141,6e-4,0.0241,0,0.2113,0,5e-4,0.001,0,0,0,0,0,2e-4,0.0105,0.0011,0.0029,0.0037,0,0,0,0,0.0065,0.0024,0.0219,0.0023,0,0.0022,0.0016,0,0.0015,0,0.0062,0.0027,9e-4,0,0,0,0,0.0083,0,0.0077,0,0,0.0609,0.0568,0.0152,0.1439,0.08940000000000001,0.0251,0.0526,0.0844,0.2928,0.0943,0.0497,0.035,0.115,0.020999999999999998,0.10780000000000001,0.043,0.0581,0.0302,0.0584,0.0567,0.0536,0.2421,0.0796,0.13440000000000002
Bronx,Allerton,X03,20485,20110,0.2928393833913476,0.7071606166086524,0.457,0.543,34.86,53254.6,0.1899,0.8101,0.2746,0.7254,0.2549,0.2626,0.1407,0.1237,0.11689999999999999,0.1013,0.0478,0.1408,0.4054,0.0285,0.0023,0.0067,0.0471,0.003,0,0.002,0.0141,0.2722,0.0053,0.0247,0.1516,0.6746,0.2766,0.398,0.3254,0.306,0.0194,0.5064,0.3588,0.0354,0.0995,0.2464,0.2942,0.16899999999999998,0.0922,0.1396,0.0588,0.7019,0.077,0.2211,0.8818,0.5465,0.4075,0.1182,0.5012,0.2086,0.3758,0.0095,0.0035,0.0035,9e-4,8e-4,8e-4,0,0,0,0,0,0,0,9e-4,2e-4,0,0.0018,0.006,0.0147,0.0102,0.002,0,7e-4,0.0073,0,0.0011,0,0.0019,0,0.0037,3e-4,0,0,0,0.0166,3e-4,0.036,0,0.1612,0.001,0.0019,0.0019,9e-4,4e-4,8e-4,0,0,0,0,0,0,0,0,1e-4,0,9e-4,0.002,0.0072,0.003,0.0016,0,0,0.0046,0,0.0011,0,0.0014,0,0.0025,0,0,0,0,0.0065,0,0.0096,0,0,0.0776,0.0314,0.0016,0.1231,0.0753,0.0173,0.0715,0.07390000000000001,0.3438,0.106,0.053000000000000005,0.0256,0.08929999999999999,0.0179,0.0703,0.060300000000000006,0.0948,0.0365,0.053599999999999995,0.0474,0.0642,0.2424,0.1108,0.11249999999999999
Bronx,Baychester,X04,24032,23702,0.596574128765505,0.40342587123449497,0.4747,0.5253,40.56666666666666,68858.16666666667,0.0875,0.9125,0.2157,0.7843,0.1946,0.2475,0.1243,0.1194,0.1459,0.16829999999999998,0.0457,0.0739,0.6339,0.029,0.0011,7e-4,0.0369,0,0,0,9e-4,0.1172,0.0126,0.0482,0.0616,0.7498,0.4026,0.3472,0.2502,0.2196,0.0305,0.4464,0.4132,0.0523,0.0882,0.18460000000000001,0.2425,0.1952,0.0977,0.1635,0.11670000000000001,0.7091,0.052,0.2388,0.9308,0.7064,0.2783,0.0692,0.6851,0.0896,0.2229,0.0048,0.0102,0.0032,0.0022,0,0,3e-4,0,1e-4,0,0,0,0,2e-4,0,0,0,0.0072,0.0058,0.0015,0.001,0,0,0.003,0,0,0,6e-4,0,0.0102,0,0,0.0022,0,2e-4,0,0.0394,0,0.0568,0.0039,0.0049,9e-4,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0.0019,0.003,3e-4,7e-4,0,0,0.0015,0,0,0,2e-4,0,0.0058,0,0,0.0022,0,2e-4,0,0.0071,0,0,0.0524,0.0332,0.005,0.1056,0.0848,0.0153,0.0709,0.0771,0.418,0.0599,0.0395,0.0383,0.0943,0.0252,0.1628,0.0971,0.076,0.050100000000000006,0.052000000000000005,0.0455,0.0474,0.1923,0.0634,0.09380000000000001
Bronx,Belmont,X05,34241,33596,0.05816168591498988,0.9418383140850102,0.4638,0.5362,28.28333333333333,30050,0.3457,0.6543,0.5075,0.4925,0.2961,0.30610000000000004,0.1186,0.10590000000000001,0.0895,0.08389999999999999,0.0806,0.1035,0.2291,0.0492,0.0018,0.0027,0.017,0.0015,0,0,0.0016,0.4821,0.0103,0.0206,0.15289999999999998,0.6228,0.2025,0.4203,0.3772,0.3029,0.0743,0.5585,0.3154,0.0465,0.0796,0.333,0.2793,0.188,0.0565,0.1002,0.0428,0.5764,0.1071,0.3165,0.8315999999999999,0.3496,0.5196000000000001,0.16840000000000002,0.2923,0.31779999999999997,0.6038,0.0178,0.0019,0.0111,2e-4,0,0,0,0,0,5e-4,9e-4,0.0023,0.0078,3e-4,8e-4,7e-4,7e-4,0.0032,0,0.012,7e-4,0,3e-4,0,0,0,0,0,0.0064,6e-4,0,0,0,3e-4,0.0059,0,0.0295,2e-4,0.2718,0.0106,0,0.0048,0,0,0,0,0,0,0,6e-4,8e-4,0.0028,3e-4,0,7e-4,0,4e-4,0,0.005,2e-4,0,3e-4,0,0,0,0,0,0.0019,0,0,0,0,3e-4,0.0026,0,0.0145,2e-4,0.0012,0.0688,0.0267,0.0235,0.1409,0.0846,0.0217,0.062,0.057999999999999996,0.2571,0.1658,0.0727,0.0173,0.0649,0.011200000000000002,0.0858,0.021699999999999997,0.09720000000000001,0.0264,0.1037,0.0853,0.0469,0.2266,0.09409999999999999,0.1364
Bronx,Castle Hill,X06,39677,39557,0.33523775817175216,0.6647622418282478,0.4876,0.5124,34.94444444444444,48967.77777777778,0.2342,0.7658,0.3499,0.6501,0.2519,0.2523,0.11729999999999999,0.129,0.1194,0.1301,0.0355,0.2512,0.2179,0.0398,0.0027,0.003,0.1117,0.0032,0,0,0.0161,0.2729,0.0249,0.0212,0.11639999999999999,0.7132,0.351,0.3621,0.2868,0.2381,0.0488,0.46140000000000003,0.4066,0.0493,0.0826,0.2699,0.2789,0.19349999999999998,0.0828,0.121,0.053799999999999994,0.648,0.0463,0.3057,0.9026,0.5589,0.4037,0.0973,0.3738,0.2616,0.4971,0.0023,3e-4,0.0017,0.0018,1e-4,0,2e-4,0,0,0,0,0,1e-4,0,0,0,6e-4,0.0015,0.0534,0,0.0204,0.001,0.0014,5e-4,0,0,0,0.01,0.0021,0.0013,2e-4,0,0,0,0.0152,0,0.0151,0,0.2001,0.0011,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-4,0.0275,0,0.012,7e-4,7e-4,3e-4,0,0,0,0.0063,7e-4,5e-4,0,0,0,0,0.0079,0,0.0024,0,0.0019,0.052700000000000004,0.031599999999999996,0.020999999999999998,0.11549999999999999,0.08810000000000001,0.0246,0.0476,0.0817,0.32230000000000003,0.12179999999999999,0.0485,0.0426,0.0937,0.0163,0.1022,0.04,0.0871,0.039599999999999996,0.0817,0.0477,0.0516,0.2349,0.0784,0.12689999999999999
Bronx,Charlotte Gardens,X07,44969,44090,0.11580857337264686,0.8841914266273532,0.4652,0.5348,32.09090909090909,28647,0.3386,0.6614,0.4819,0.5181,0.2651,0.2775,0.12079999999999999,0.112,0.12140000000000001,0.1032,0.0139,0.1051,0.2986,0.0665,0.0017,0.0014,0.0078,6e-4,0,8e-4,0.0027,0.4669,0.0042,0.0298,0.113,0.6561,0.2304,0.4258,0.3439,0.3118,0.0321,0.5285,0.3376,0.0498,0.08399999999999999,0.32610000000000006,0.2831,0.17779999999999999,0.0656,0.1179,0.0294,0.6169,0.0772,0.306,0.8739,0.4112,0.5431,0.12610000000000002,0.3401,0.2863,0.5816,0.0206,0.0023,1e-4,0.002,8e-4,0,3e-4,0,0,3e-4,5e-4,0,0,0,0,0,0.0015,0,0.0011,0,0.0036,3e-4,4e-4,6e-4,0,0.0013,0,0.0013,1e-4,0,0,0,0,0,0.0035,3e-4,0.0375,0,0.2559,0.0038,8e-4,0,0,8e-4,0,0,0,0,3e-4,0,0,0,0,0,0,7e-4,0,7e-4,0,0.0027,0,3e-4,5e-4,0,4e-4,0,8e-4,1e-4,0,0,0,0,0,0.0035,0,0.015,0,6e-4,0.0434,0.0258,0.0373,0.1051,0.0772,0.011699999999999999,0.0639,0.10269999999999999,0.3225,0.105,0.0788,0.026,0.067,0.020999999999999998,0.10880000000000001,0.031400000000000004,0.10980000000000001,0.0532,0.0626,0.0887,0.057999999999999996,0.2184,0.0562,0.1247
Bronx,Morrisania,X08,44240,42686,0.056529072763903856,0.9434709272360962,0.4817,0.5183,31.875,24616.5,0.3465,0.6535,0.5202,0.4798,0.29050000000000004,0.25479999999999997,0.1278,0.12060000000000001,0.12179999999999999,0.08420000000000001,0.013,0.1019,0.4286,0.085,0.0058,0.0062,0.0056,0,0,0.0029,0.0032,0.3074,0.0109,0.0295,0.1133,0.6431,0.2145,0.4287,0.3569,0.3262,0.0306,0.5542,0.318,0.045899999999999996,0.08209999999999999,0.3338,0.2976,0.185,0.0673,0.0869,0.029500000000000002,0.5578,0.0973,0.3449,0.8679,0.3573,0.5882000000000001,0.1321,0.3909,0.2761,0.5263,0.0149,0.0096,0.001,0,0,0,0,0,0,0,1e-4,0,0,0,2e-4,0,0,3e-4,0,0,9e-4,3e-4,0,0,0,0,0,0,0,0,2e-4,0,0,0,2e-4,0,0.0532,0.0017,0.2452,0.0073,6e-4,5e-4,0,0,0,0,0,0,0,1e-4,0,0,0,2e-4,0,0,0,0,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0.0202,0.0012,0.0022,0.0494,0.0374,0.0145,0.1192,0.08449999999999999,0.0072,0.0625,0.0916,0.3342,0.1199,0.038400000000000004,0.0388,0.0615,0.0138,0.0774,0.0195,0.1399,0.0599,0.0695,0.0958,0.060899999999999996,0.21359999999999998,0.0532,0.1348
Bronx,City Island,X09,4531,4517,0.606818684967899,0.39318131503210096,0.5012,0.4988,42.1,96366,0.0399,0.9601,0.1286,0.8714,0.1975,0.235,0.1063,0.1644,0.0831,0.2137,0.525,0.1556,2e-4,0,0,0,0.0501,0,0,0,0.0044,0.2298,0,0.0349,0.0076,0.6359,0.3733,0.2626,0.3641,0.2712,0.0929,0.33599999999999997,0.4755,0.0847,0.1038,0.0796,0.18209999999999998,0.0922,0.1794,0.2245,0.2421,0.8115,0.0491,0.1395,0.8737999999999999,0.7736999999999999,0.164,0.1262,0.8176,0.0303,0.1298,0,0,0.0098,0,9e-4,0,0,0,0.0028,0,0.0051,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0.0037,0.024,0,0,0,0,0.0021,0,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0.0579,0.0196,0.052000000000000005,0.0519,0.0157,0.0392,0.0634,0.09759999999999999,0.3258,0.1444,0.0387,0.09369999999999999,0.1623,0.0736,0.1358,0.0392,0.0877,0.08259999999999999,0.0634,0.0486,0.0192,0.20400000000000001,0.0566,0.0268
Bronx,Claremont,X10,34984,33329,0.06792883074799724,0.9320711692520027,0.4549,0.5451,30.27777777777778,35134.22222222222,0.3029,0.6971,0.4961,0.5039,0.3087,0.2789,0.12769999999999998,0.1169,0.0886,0.0794,0.0184,0.132,0.2996,0.0956,0,0.0053,0.0093,0.0017,0,7e-4,0.0031,0.3914,0.0089,0.0338,0.2022,0.7182,0.2733,0.4449,0.2818,0.2323,0.0495,0.5133,0.3685,0.0346,0.0837,0.32569999999999993,0.3029,0.1452,0.0782,0.1171,0.0309,0.6268,0.089,0.2842,0.863,0.36510000000000004,0.5592,0.1369,0.2849,0.3242,0.5591,0.02,0.0063,3e-4,0,0,0,0,0,0,4e-4,0,0,0,0,0,0,0,0.0021,0.0036,6e-4,0,8e-4,0,0,0,0,0,0,0.0028,0.0072,0,0,7e-4,0,0.0013,0,0.1099,0,0.2627,0.0095,0,0,0,0,0,0,0,0,4e-4,0,0,0,0,0,0,0,9e-4,0.0025,4e-4,0,3e-4,0,0,0,0,0,0,0,0,0,0,7e-4,0,6e-4,0,0.0462,0,0.0018,0.0519,0.0349,0.019799999999999998,0.1036,0.1002,0.0085,0.0474,0.10569999999999999,0.3298,0.1217,0.0518,0.023,0.0628,0.015,0.0781,0.0238,0.156,0.0412,0.081,0.0937,0.0548,0.1872,0.0579,0.1487
Bronx,Clason Point,X11,26263,26006,0.36633853726063215,0.6336614627393679,0.4626,0.5374,36.3,43575,0.2523,0.7477,0.3561,0.6439,0.2521,0.2413,0.11099999999999999,0.1306,0.1188,0.146,0.0249,0.3674,0.2878,0.0819,0,0.0052,0.0099,0.0038,0,0,0.0045,0.1724,0.0067,0.0355,0.08,0.67,0.2468,0.4232,0.33,0.2934,0.0366,0.5337000000000001,0.3174,0.0631,0.0859,0.26230000000000003,0.29500000000000004,0.1754,0.0795,0.118,0.07,0.6031,0.0755,0.3214,0.8936999999999999,0.5662,0.4238,0.1063,0.4133,0.22899999999999998,0.524,0.0099,0.0022,0.0012,0,0,0,0,0,0,0,0,0,0,4e-4,0,0,5e-4,0.001,0.004,0.0026,0,0,0.0024,0,0,0,0,6e-4,3e-4,0,0,0,0,0,0,0,0.0378,0,0.2105,0.0041,0.0017,4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0.0024,0,0,0,0,0,0,0,6e-4,3e-4,0,0,0,0,0,0,0,0.0085,0,0,0.032299999999999995,0.0345,0.009899999999999999,0.0912,0.1124,0.0191,0.0679,0.0842,0.3821,0.08510000000000001,0.03,0.0513,0.1022,0.0246,0.1215,0.0529,0.09870000000000001,0.0536,0.0361,0.0549,0.032100000000000004,0.22190000000000001,0.0494,0.1521
Bronx,Co-op City,X12,36813,35586,0.48743888045860734,0.5125611195413927,0.4295,0.5705,49.05,53344,0.0625,0.9375,0.1351,0.8649,0.1408,0.17359999999999998,0.1421,0.1298,0.1387,0.27469999999999994,0.0659,0.0914,0.6094,0.0419,0,0.005,0.0252,0,0,0,0.0049,0.1015,0.0228,0.032,0.0536,0.519,0.2216,0.2974,0.481,0.4711,0.0099,0.39239999999999997,0.3371,0.112,0.15839999999999999,0.15049999999999997,0.272,0.1966,0.121,0.175,0.0849,0.7639,0.0529,0.1832,0.9130999999999999,0.7702,0.2115,0.0869,0.6665,0.1103,0.2423,0.0045,5e-4,0.0013,0,0.0014,7e-4,0,0,0.0022,0.0049,6e-4,0,0,0,0,0,0,0,0.0017,0.0045,9e-4,0,0.002,7e-4,0,0,0,0,0,0.0017,0,0,0,0,0,0,0.0637,0,0.0794,5e-4,2e-4,0.0013,0,0.0013,0,0,0,0.001,0.0048,6e-4,0,0,0,0,0,0,0,0.0017,0.0012,0,0,0.002,3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.0018,0.0301,0.0179,0.0115,0.0963,0.0557,0.025,0.0834,0.0908,0.4144,0.0619,0.040900000000000006,0.0703,0.1123,0.0072,0.0976,0.0682,0.08049999999999999,0.07089999999999999,0.0455,0.046,0.0267,0.33840000000000003,0.053,0.0538
Bronx,Concourse,X13,73770,72590,0.07580934012949442,0.9241906598705055,0.4794,0.5206,34.593333333333334,33350.642857142855,0.3212,0.6788,0.4041,0.5959,0.2583,0.2596,0.1301,0.13190000000000002,0.1061,0.11379999999999998,0.026,0.11,0.2908,0.0767,0.0047,0.0042,0.0195,7e-4,0,0.0025,0.0056,0.4226,0.0106,0.0261,0.1758,0.624,0.2485,0.3755,0.376,0.3259,0.0501,0.4857,0.373,0.0498,0.09140000000000001,0.3259000000000001,0.2701,0.176,0.0683,0.1138,0.046,0.6438,0.0657,0.2906,0.8320000000000001,0.39870000000000005,0.49629999999999996,0.16810000000000003,0.3067,0.3505,0.5804,0.0206,0.002,7e-4,1e-4,1e-4,1e-4,2e-4,0,3e-4,0,1e-4,0,0,1e-4,2e-4,0,0,0.0011,0.0147,0.0024,0.0038,6e-4,1e-4,0,0,0,0,0.0013,4e-4,7e-4,1e-4,0,0.001,0,0.0038,0,0.0559,0.0021,0.3067,0.0134,9e-4,1e-4,1e-4,0,0,2e-4,0,0,0,0,0,0,1e-4,0,0,0,7e-4,0.0076,0.0012,0.0022,5e-4,1e-4,0,0,0,0,5e-4,0,0,1e-4,0,3e-4,0,0.0023,0,0.0134,1e-4,3e-4,0.0445,0.036699999999999997,0.0164,0.0997,0.0806,0.016300000000000002,0.057300000000000004,0.1036,0.306,0.1386,0.0674,0.0327,0.0628,0.009600000000000001,0.0893,0.0312,0.1275,0.0431,0.0882,0.0954,0.0554,0.1861,0.0601,0.1513
Bronx,Country Club,X14,8174,7946,0.721243392902089,0.2787566070979109,0.4699,0.5301,47.2,88077,0.0396,0.9604,0.0457,0.9543,0.19140000000000001,0.1698,0.124,0.141,0.1461,0.2275,0.6782,0.128,0.0231,0.0012,0,0,0.0166,0,0,0,0.0073,0.1123,0.0045,0.0286,0.0177,0.7252,0.5107,0.2145,0.2748,0.2565,0.0183,0.2762,0.5317000000000001,0.07339999999999999,0.1187,0.15300000000000002,0.30489999999999995,0.1828,0.0666,0.1603,0.1324,0.739,0.0311,0.2299,0.9366000000000001,0.8466,0.12539999999999998,0.0634,0.7062,0.0782,0.0985,0.001,4e-4,0.1314,0,0,0,0,0,0.0245,0.0011,0,0,0,0,0,0,0,0,0,0.0101,0.003,0,0.0029,0,0,0,0,0,0.0032,0.0161,0,0,0,0,0.0016,0,0,0,0.0174,0,4e-4,0.0471,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0.0062,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07970000000000001,0.029699999999999997,0.018,0.1014,0.062299999999999994,0.015899999999999997,0.0729,0.1104,0.3394,0.0633,0.042499999999999996,0.06459999999999999,0.1557,0.035199999999999995,0.1287,0.043800000000000006,0.0219,0.0558,0.0398,0.0182,0.0726,0.2503,0.1125,0.0654
Bronx,Edenwald,X15,26399,25353,0.3394864513075376,0.6605135486924625,0.4366,0.5634,36.64,57447,0.1762,0.8238,0.3742,0.6258,0.25529999999999997,0.232,0.1197,0.1283,0.13290000000000002,0.1318,0.0302,0.1008,0.5879,0.0826,0.0059,0.0242,0.0099,0,0,6e-4,0.0073,0.1294,0.0086,0.0126,0.087,0.7678,0.3094,0.4584,0.2322,0.2263,0.006,0.5049,0.3453,0.077,0.0728,0.21249999999999997,0.32920000000000005,0.1667,0.0835,0.1368,0.0711,0.6527,0.0906,0.2567,0.9288,0.5619,0.42469999999999997,0.0712,0.6498,0.1029,0.2684,0.0138,0.008,0.0077,0.0099,7e-4,0,4e-4,0,0.0026,3e-4,0,0,0,0,0,0,0.0028,0.002,0.0019,0.0023,0.001,0,0.0017,0,0,0,0,3e-4,0,4e-4,0,0,0,0,0,0,0.0261,0,0.0879,0.0023,6e-4,0,0.0034,0,0,4e-4,0,0,3e-4,0,0,0,0,0,0,0.0013,0,0.0019,9e-4,3e-4,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0.0631,0.0322,0.0188,0.09739999999999999,0.0925,0.0137,0.0382,0.0736,0.3955,0.0757,0.057800000000000004,0.0415,0.1027,0.026799999999999997,0.0949,0.059000000000000004,0.1173,0.0406,0.055099999999999996,0.042,0.0505,0.2143,0.0893,0.1075
Bronx,Fieldston,X16,5788,4219,0.5804693055226356,0.4195306944773643,0.4758,0.5242,31.85,95000,0.063,0.937,0.0791,0.9209,0.14089999999999997,0.40609999999999996,0.1301,0.0885,0.095,0.1395,0.5955,0.1488,0.065,0.0067,0,0.0031,0.0479,0.0111,0,0,0.0022,0.0734,0.023,0.0233,0.011099999999999999,0.5143,0.3519,0.1624,0.4857,0.3811,0.1046,0.5487,0.3209,0.0294,0.101,0.0988,0.1276,0.1697,0.0517,0.2379,0.3144,0.6672,0.0406,0.2922,0.9582999999999999,0.8586,0.1335,0.0417,0.6443,0.1037,0.1925,0.0048,0,0.0125,0,0.0046,0,0,0.0065,0.0071,0.0306,0.0023,0,0,0,0.001,0.0012,0.0046,0,0.0031,0.0056,0.026,0.0025,0.0079,0,0,0,0,0,0.0035,0.0031,0,0,0,0.0023,0.0085,0.0233,0.0012,0.0012,0.0541,0.0017,0,0,0,0.0025,0,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0.0015,0.0166,0.0025,0.0048,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0015,0.0012,0,0.0057,0.0372,0.026799999999999997,0.01,0.0707,0.0436,0.035,0.0736,0.1101,0.3951,0.1008,0.0557,0.035699999999999996,0.16249999999999998,0.0668,0.2319,0.0775,0.03,0.0025,0.0317,0.02,0.0393,0.23249999999999998,0.042499999999999996,0.0625
